School,School County,LC sits 2021,2021 100% sits,2020 100% sits,DCU,Maynooth University,NUIG,Trinity,UCC,UCD,University of Limerick,RCSI,TU Dublin,MTU,TUS,Dundalk  IT,Galway-Mayo  IT,Dun Laoghaire  IADT,IT  Carlow,IT  Sligo,Letterkenny  IT,Waterford  IT,Marino Institute of Education,Mary Immaculate College,National College of Art & Design,"St Angela's College, Sligo",National College of Ireland,"St Patrick's, Carlow",DBS,Griffith College,"Queen's University, Belfast",University of Ulster
"Meán Scoil Mhuire, Longford",Co. Longford,78,81%,75%,18,12,5,2,0,2,1,1,3,0,11,0,0,1,1,2,0,1,0,0,1,0,1,0,0,0,1,0
"St Mel's, Longford",Co. Longford,83,66%,72%,4,12,5,0,0,7,1,0,6,1,5,0,8,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0
Ballymahon Vocational School,Co. Longford,58,60%,66%,2,2,6,0,0,2,2,2,0,1,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ardscoil Phádraig, Granard",Co. Longford,19,58%,47%,1,3,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Lanesboro Community College,Co. Longford,27,56%,83%,0,5,3,0,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Templemichael College,Co. Longford,37,46%,42%,1,0,2,0,0,2,0,0,1,0,3,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Sacred Heart School, Drogheda",Co. Louth,76,100%,100%,27,13,1,6,0,3,0,0,8,0,1,15,0,0,0,0,0,1,0,0,2,0,1,0,1,0,1,0
"Coláiste Rís, Dundalk",Co. Louth,67,100%,66%,14,9,1,10,0,3,0,0,5,1,0,23,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Ó Fiaich College, Dundalk",Co. Louth,38,92%,59%,1,1,2,1,0,1,0,0,11,0,0,11,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,3
"St Vincent's Secondary School, Dundalk",Co. Louth,138,92%,86%,37,15,7,8,0,17,2,0,7,0,2,15,0,0,0,1,0,0,9,0,1,0,0,0,0,0,4,2
"Our Lady's College, Greenhills, Drogheda",Co. Louth,155,89%,86%,38,17,1,16,0,13,1,1,17,1,0,17,0,0,0,1,0,0,3,0,3,0,2,1,2,1,2,1
St Louis Secondary School,Co. Louth,100,86%,79%,10,8,12,7,0,5,0,1,11,1,1,18,0,2,0,0,2,0,0,0,3,0,2,0,2,0,0,1
Dundalk Grammar School,Co. Louth,84,86%,100%,12,4,10,6,1,8,3,0,9,1,1,7,3,0,0,0,0,0,1,0,2,0,0,0,0,0,3,1
"St Mary's Diocesan School, Drogheda",Co. Louth,115,84%,76%,26,10,0,8,0,2,0,0,13,0,1,30,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0
"Bush Post-Primary,  Dundalk",Co. Louth,91,84%,85%,15,7,6,1,0,2,3,0,2,2,1,30,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,1
Drogheda Grammar School,Co. Louth,46,83%,100%,9,2,2,2,2,7,0,1,5,2,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
"De La Salle Secondary School, Dundalk",Co. Louth,111,73%,96%,12,8,1,5,1,6,3,2,14,1,0,23,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
